Unnamed: 0,Prompt,ROGUE_1,ROGUE_2,ROGUE_L,ROGUE_S,METEOR,BERTScore
12,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.68,0.53,0.67,0.43,0.72,0.95
13,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.71,0.54,0.7,0.44,0.74,0.95
14,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.71,0.55,0.7,0.45,0.75,0.95
15,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.67,0.5,0.66,0.4,0.72,0.95
16,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.71,0.54,0.7,0.45,0.76,0.95
17,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.69,0.53,0.68,0.42,0.73,0.95
18,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.72,0.56,0.71,0.46,0.78,0.95
19,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.71,0.55,0.71,0.47,0.75,0.95
20,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.7,0.54,0.69,0.42,0.73,0.95
21,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.72,0.54,0.71,0.42,0.76,0.95
22,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.",0.69,0.52,0.68,0.41,0.73,0.95
23,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.",0.7,0.54,0.68,0.44,0.74,0.95
24,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.",0.72,0.55,0.71,0.46,0.76,0.95
25,"You are an extractive summarizer. Summarize a given sentence for the action verb that is tagged with <tgr>. Make sure the output you provide does not include any extra tokens beyond those specified in the input.\nInput: Since my goal is to win this particular week, I can also <tgr> see </tgr> where my opponent is weak and try and figure out what moves they might try and make on the waiver wire.\nOutput:User sees where their opponent is weak and moves they might try.\nInput: It also will <tgr> show </tgr> you your winners so you know what studied plays were good and how you can pursue winning again in the future!\nOutput:App shows winners so you know what studied plays were good.\nInput: Besides weight it also <tgr> shows </tgr> my calories consumed and this is another metric that helps me make sure my progress is going in the right direction.\nOutput:App shows calories consumed.\nInput: The screen also <tgr> allows access to </tgr> access to the Terms of Service and Privacy Policy, which states how information from the user will be handled.\nOutput:App allows access to Terms of Service and Privacy Policy.\nInput: Items that should be reviewed to ensure they are in long term memory are <tgr> indicated </tgr> by the watering can icon.\nOutput:App indicates Items that should be reviewed to ensure they are in long term memory by the watering can icon.\nInput: I can view my account settings and <tgr> reset </tgr> passwords.\nOutput:User resets passwords.",0.7,0.55,0.7,0.45,0.76,0.95
